condition,round,n,visual_concept_imagery_score,composition_hierarchy_score,typography_integration_score,color_atmosphere_craft_score,overall_score
R0,0,5,74.8,76.4,81.2,76.4,75.6
AXES,1,5,80.4,80.4,79.2,79.4,79.4
CEN_MAD,1,5,79.6,80.0,77.8,77.8,78.2
FUSED,1,5,78.0,79.8,83.2,81.6,80.0
MAD,1,5,76.8,77.8,78.2,79.2,76.8
SELF,1,5,74.6,76.2,84.4,76.2,76.6
AXES,2,5,78.8,81.6,76.6,79.4,79.2
CEN_MAD,2,5,81.4,82.8,80.4,78.0,80.2
FUSED,2,5,79.6,82.6,73.0,81.6,78.2
MAD,2,5,77.4,80.2,83.8,80.0,79.6
SELF,2,5,74.6,75.6,75.8,76.0,74.2
AXES,3,5,80.2,81.6,74.8,81.4,77.8
CEN_MAD,3,5,81.8,82.6,82.6,80.6,82.0
FUSED,3,5,81.2,84.0,62.0,79.0,71.4
MAD,3,5,80.6,82.4,76.8,82.6,80.4
SELF,3,5,74.8,75.0,85.6,77.0,76.6
AXES,4,5,81.8,81.8,71.2,78.0,77.0
CEN_MAD,4,5,82.8,83.2,82.8,81.8,82.2
FUSED,4,5,80.8,84.2,58.8,79.8,70.2
MAD,4,5,81.2,82.6,81.2,82.6,82.0
SELF,4,5,73.6,75.8,86.2,75.8,76.2
AXES,5,5,82.6,83.0,73.8,80.8,78.4
CEN_MAD,5,5,83.2,85.0,77.4,83.4,81.8
FUSED,5,5,82.6,85.4,72.8,81.6,78.4
MAD,5,5,82.0,83.0,80.0,81.8,81.2
SELF,5,5,74.6,75.4,86.2,75.6,76.0
