blind_id,source_kind,arm,task,round,judge_part,layout_hierarchy,layout_hierarchy_gold_centered,spacing_alignment_balance,spacing_alignment_balance_gold_centered,color_typography,color_typography_gold_centered,style_originality_finish,style_originality_finish_gold_centered,overall,overall_gold_centered
K001,main,MAD,ab000011,3,1,73,73.458,72,71.167,76,77.333,78,75.333,74,73.625
K002,main,SELF,ab000008,3,2,89,91.236,87,90.722,91,92.833,89,93.056,89,92.292
K003,main,FUSED,ab000012,0,3,77,74.458,82,78.833,84,81.278,78,75.722,80,76.958
K004,main,MAD,ab000008,2,1,86,86.458,84,83.167,88,89.333,86,83.333,86,85.625
K005,main,AXES,ab000004,3,2,82,84.236,84,87.722,80,81.833,78,82.056,80,83.292
K006,main,SELF,ab000003,5,3,84,81.458,86,82.833,81,78.278,77,74.722,82,78.958
K007,main,MAD,ab000009,3,1,66,66.458,68,67.167,63,64.333,58,55.333,61,60.625
K008,main,SELF,ab000002,3,2,44,46.236,39,42.722,68,69.833,49,53.056,45,48.292
K009,main,MAD,ab000011,1,3,74,71.458,79,75.833,79,76.278,72,69.722,75,71.958
K010,main,AXES,ab000009,4,1,74,74.458,72,71.167,80,81.333,78,75.333,72,71.625
K011,main,MAD,ab000006,5,2,82,84.236,76,79.722,84,85.833,80,84.056,80,83.292
K012,main,MAD,ab000010,4,3,78,75.458,77,73.833,88,85.278,83,80.722,83,79.958
K013,main,FUSED,ab000011,2,1,76,76.458,78,77.167,78,79.333,77,74.333,77,76.625
K014,main,AXES,ab000002,0,2,45,47.236,42,45.722,68,69.833,50,54.056,46,49.292
K015,main,MAD,ab000005,2,3,58,55.458,73,69.833,78,75.278,63,60.722,64,60.958
K016,main,MAD,ab000010,3,1,82,82.458,80,79.167,75,76.333,82,79.333,79,78.625
K017,main,MAD,ab000004,3,2,88,90.236,87,90.722,90,91.833,88,92.056,89,92.292
K018,main,SELF,ab000011,1,3,65,62.458,73,69.833,77,74.278,68,65.722,69,65.958
K019,main,FUSED,ab000007,2,1,60,60.458,64,63.167,78,79.333,76,73.333,62,61.625
K020,main,MAD,ab000005,4,2,77,79.236,80,83.722,76,77.833,78,82.056,77,80.292
K021,main,FUSED,ab000010,0,3,84,81.458,84,80.833,91,88.278,87,84.722,88,84.958
K022,main,FUSED,ab000008,5,1,84,84.458,82,81.167,88,89.333,86,83.333,85,84.625
K023,main,FUSED,ab000004,4,2,52,54.236,48,51.722,61,62.833,49,53.056,51,54.292
K024,main,MAD,ab000007,1,3,68,65.458,70,66.833,84,81.278,77,74.722,73,69.958
K025,main,FUSED,ab000010,3,1,75,75.458,77,76.167,60,61.333,69,66.333,65,64.625
K026,main,FUSED,ab000011,3,2,58,60.236,52,55.722,60,61.833,55,59.056,56,59.292
K027,main,SELF,ab000002,2,3,54,51.458,55,51.833,72,69.278,62,59.722,59,55.958
K028,main,MAD,ab000001,3,1,54,54.458,51,50.167,68,69.333,64,61.333,55,54.625
K029,main,MAD,ab000005,3,2,80,82.236,82,85.722,78,79.833,81,85.056,80,83.292
K030,gold,GOLD,ab000007,0,3,60,57.458,67,63.833,79,76.278,68,65.722,65,61.958
K031,main,SELF,ab000009,5,1,82,82.458,82,81.167,79,80.333,75,72.333,79,78.625
K032,main,FUSED,ab000002,5,2,78,80.236,72,75.722,84,85.833,78,82.056,77,80.292
K033,main,SELF,ab000001,0,3,87,84.458,88,84.833,80,77.278,80,77.722,84,80.958
K034,main,AXES,ab000006,1,1,78,78.458,75,74.167,75,76.333,79,76.333,77,76.625
K035,gold,GOLD,ab000002,2,2,84,86.236,81,84.722,83,84.833,82,86.056,83,86.292
K036,main,SELF,ab000004,2,3,88,85.458,87,83.833,88,85.278,82,79.722,86,82.958
K037,gold,GOLD,ab000012,3,1,78,78.458,82,81.167,82,83.333,83,80.333,81,80.625
K038,main,FUSED,ab000006,4,2,83,85.236,77,80.722,85,86.833,82,86.056,82,85.292
K039,gold,GOLD,ab000007,4,3,82,79.458,79,75.833,88,85.278,83,80.722,83,79.958
K040,main,AXES,ab000012,4,1,75,75.458,78,77.167,80,81.333,77,74.333,76,75.625
K041,main,AXES,ab000012,5,2,86,88.236,85,88.722,88,89.833,86,90.056,86,89.292
K042,main,SELF,ab000003,0,3,86,83.458,86,82.833,82,79.278,78,75.722,83,79.958
K043,main,MAD,ab000004,0,1,78,78.458,82,81.167,80,81.333,78,75.333,79,78.625
K044,main,SELF,ab000007,1,2,40,42.236,36,39.722,63,64.833,42,46.056,40,43.292
K045,main,FUSED,ab000011,4,3,69,66.458,71,67.833,79,76.278,71,68.722,72,68.958
K046,main,FUSED,ab000003,2,1,86,86.458,85,84.167,84,85.333,86,83.333,85,84.625
K047,main,FUSED,ab000012,4,2,89,91.236,88,91.722,90,91.833,90,94.056,89,92.292
K048,main,AXES,ab000005,0,3,82,79.458,89,85.833,82,79.278,74,71.722,81,77.958
K049,main,MAD,ab000001,5,1,58,58.458,56,55.167,70,71.333,65,62.333,59,58.625
K050,main,FUSED,ab000010,5,2,58,60.236,60,63.722,53,54.833,58,62.056,57,60.292
K051,main,MAD,ab000012,4,3,82,79.458,80,76.833,88,85.278,83,80.722,84,80.958
K052,main,MAD,ab000004,4,1,83,83.458,84,83.167,84,85.333,82,79.333,83,82.625
K053,main,AXES,ab000005,4,2,85,87.236,82,85.722,84,85.833,85,89.056,84,87.292
K054,main,SELF,ab000008,5,3,78,75.458,75,71.833,86,83.278,80,77.722,80,76.958
K055,main,AXES,ab000007,1,1,64,64.458,70,69.167,79,80.333,76,73.333,65,64.625
K056,gold,GOLD,ab000007,1,2,70,72.236,69,72.722,77,78.833,68,72.056,69,72.292
K057,main,AXES,ab000009,3,3,83,80.458,85,81.833,77,74.278,72,69.722,80,76.958
K058,main,FUSED,ab000003,4,1,80,80.458,82,81.167,78,79.333,82,79.333,80,79.625
K059,main,FUSED,ab000010,4,2,59,61.236,62,65.722,54,55.833,58,62.056,58,61.292
K060,main,FUSED,ab000001,0,3,87,84.458,88,84.833,80,77.278,80,77.722,84,80.958
K061,main,SELF,ab000005,5,1,61,61.458,68,67.167,70,71.333,69,66.333,62,61.625
K062,main,AXES,ab000004,4,2,82,84.236,82,85.722,84,85.833,80,84.056,81,84.292
K063,main,AXES,ab000001,3,3,78,75.458,80,76.833,66,63.278,74,71.722,73,69.958
K064,main,MAD,ab000006,0,1,70,70.458,69,68.167,75,76.333,73,70.333,70,69.625
K065,main,MAD,ab000008,4,2,82,84.236,79,82.722,86,87.833,80,84.056,81,84.292
K066,gold,GOLD,ab000010,1,3,83,80.458,82,78.833,87,84.278,84,81.722,85,81.958
K067,gold,GOLD,ab000012,5,1,79,79.458,82,81.167,82,83.333,84,81.333,81,80.625
K068,gold,GOLD,ab000007,2,2,66,68.236,63,66.722,74,75.833,64,68.056,65,68.292
K069,main,AXES,ab000012,3,3,70,67.458,75,71.833,84,81.278,76,73.722,76,72.958
K070,main,MAD,ab000009,4,1,78,78.458,78,77.167,70,71.333,68,65.333,72,71.625
K071,main,FUSED,ab000010,2,2,82,84.236,84,87.722,79,80.833,81,85.056,81,84.292
K072,main,SELF,ab000003,3,3,84,81.458,85,81.833,81,78.278,76,73.722,81,77.958
K073,main,SELF,ab000003,4,1,83,83.458,81,80.167,78,79.333,80,77.333,80,79.625
K074,main,FUSED,ab000005,1,2,78,80.236,76,79.722,75,76.833,76,80.056,76,79.292
K075,main,SELF,ab000010,5,3,86,83.458,85,81.833,89,86.278,86,83.722,87,83.958
K076,main,MAD,ab000003,3,1,80,80.458,80,79.167,76,77.333,78,75.333,78,77.625
K077,main,AXES,ab000008,1,2,89,91.236,88,91.722,91,92.833,90,94.056,89,92.292
K078,main,MAD,ab000001,2,3,68,65.458,65,61.833,79,76.278,74,71.722,71,67.958
K079,main,FUSED,ab000009,0,1,82,82.458,83,82.167,81,82.333,77,74.333,80,79.625
K080,main,AXES,ab000007,4,2,45,47.236,40,43.722,69,70.833,47,51.056,45,48.292
K081,main,AXES,ab000011,4,3,57,54.458,62,58.833,71,68.278,63,60.722,61,57.958
K082,main,SELF,ab000004,4,1,83,83.458,83,82.167,87,88.333,84,81.333,84,83.625
K083,main,FUSED,ab000008,1,2,79,81.236,76,79.722,84,85.833,77,81.056,78,81.292
K084,main,MAD,ab000009,1,3,83,80.458,85,81.833,79,76.278,74,71.722,81,77.958
K085,main,MAD,ab000003,5,1,82,82.458,80,79.167,79,80.333,81,78.333,80,79.625
K086,gold,GOLD,ab000010,4,2,81,83.236,78,81.722,83,84.833,82,86.056,81,84.292
K087,main,FUSED,ab000012,5,3,80,77.458,84,80.833,87,84.278,82,79.722,83,79.958
K088,main,MAD,ab000006,1,1,83,83.458,82,81.167,81,82.333,84,81.333,83,82.625
K089,main,MAD,ab000012,2,2,85,87.236,85,88.722,87,88.833,83,87.056,84,87.292
K090,gold,GOLD,ab000007,3,3,77,74.458,75,71.833,85,82.278,80,77.722,79,75.958
K091,main,AXES,ab000004,0,1,79,79.458,82,81.167,80,81.333,78,75.333,79,78.625
K092,main,FUSED,ab000012,1,2,79,81.236,81,84.722,84,85.833,77,81.056,79,82.292
