method,round,n,n_tasks,layout_hierarchy_mean,layout_hierarchy_sd,layout_hierarchy_sem,spacing_alignment_balance_mean,spacing_alignment_balance_sd,spacing_alignment_balance_sem,color_typography_mean,color_typography_sd,color_typography_sem,style_originality_finish_mean,style_originality_finish_sd,style_originality_finish_sem,overall_mean,overall_sd,overall_sem,overall_gold_centered_mean
SELF,0,12,12,76.083,12.944,3.737,77.083,12.109,3.496,78.25,5.941,1.715,74.667,8.139,2.35,75.583,10.875,3.139,74.486
SELF,1,12,12,72.25,11.678,3.371,73.167,12.812,3.699,76.417,6.585,1.901,71.417,10.37,2.994,72,11.193,3.231,72.792
SELF,2,12,12,74.25,16.625,4.799,74.75,17.757,5.126,79.167,7.408,2.139,72.667,13.371,3.86,73.583,15.687,4.528,72.569
SELF,3,12,12,73.333,17.778,5.132,73.5,19.806,5.717,78.083,7.751,2.238,71.667,15.287,4.413,72.333,17.505,5.053,71.847
SELF,4,12,12,70.75,17.823,5.145,69.917,18.841,5.439,76.583,8.733,2.521,70.917,16.817,4.855,70.333,17.521,5.058,70.431
SELF,5,12,12,72.917,13.794,3.982,73.083,15.06,4.348,79.083,7.128,2.058,74.333,10.899,3.146,73.25,13.512,3.901,71.847
FUSED,0,12,12,73.667,12.844,3.708,73.917,14.119,4.076,78.417,7.403,2.137,72.75,11.112,3.208,73.833,12.467,3.599,73.569
FUSED,1,12,12,68.917,16.093,4.646,68,17.622,5.087,73.333,11.765,3.396,67.667,14.475,4.178,67.833,15.936,4.6,69.236
FUSED,2,12,12,73.333,12.716,3.671,73.833,14.057,4.058,75.5,12.079,3.487,73.083,12.508,3.611,73,13.198,3.81,73.181
FUSED,3,12,12,73.25,12.941,3.736,72.667,13.74,3.966,76.833,10.205,2.946,73,12.692,3.664,72.083,13.187,3.807,72.347
FUSED,4,12,12,74.5,12.094,3.491,74.75,12.592,3.635,78.333,11.276,3.255,74.917,12.102,3.493,74.917,11.95,3.45,75.181
FUSED,5,12,12,74.25,11.104,3.205,74.917,10.942,3.159,78.75,9.196,2.655,76.417,8.754,2.527,75,9.816,2.834,74.958
AXES,0,12,12,75.583,11.485,3.315,77.083,12.53,3.617,78.417,4.833,1.395,74,8.345,2.409,74.917,10.808,3.12,74.347
AXES,1,12,12,69,15.771,4.553,69.917,13.892,4.01,75.833,6.686,1.93,70.167,14.057,4.058,69.75,12.927,3.732,70.764
AXES,2,12,12,75.667,7.703,2.224,76.583,5.712,1.649,79,3.015,0.87,76.333,4.697,1.356,75.75,6.196,1.789,76.153
AXES,3,12,12,75.167,9.666,2.79,75.333,8.866,2.559,78.5,6.274,1.811,75.583,5.961,1.721,74.917,8.469,2.445,74.347
AXES,4,12,12,72.5,11.666,3.368,71.25,12.016,3.469,78.167,5.078,1.466,74.583,10.466,3.021,72.667,10.68,3.083,73.07
AXES,5,12,12,74.25,12.248,3.536,72.917,12.034,3.474,78.833,7.554,2.181,75.5,10.014,2.891,73.667,11.896,3.434,74.375
MAD,0,12,12,71.333,11.38,3.285,73.083,12.88,3.718,77.167,4.896,1.413,71.833,9.282,2.679,71.917,10.858,3.135,71.264
MAD,1,12,12,78.167,8.737,2.522,77.917,9.0,2.598,81.25,6.797,1.962,77.25,8.368,2.416,78.167,8.2,2.367,78.208
MAD,2,12,12,75.75,12.934,3.734,75.333,13.173,3.803,81.167,5.323,1.537,76.5,11.115,3.209,75.917,11.966,3.454,75.569
MAD,3,12,12,76,10.027,2.895,75.333,9.773,2.821,78.667,8.283,2.391,77.833,8.871,2.561,76.083,10.022,2.893,75.208
MAD,4,12,12,74.083,12.667,3.657,72.583,14.4,4.157,78.333,7.165,2.068,72.417,13.318,3.844,73.25,13.349,3.854,73.736
MAD,5,12,12,76.917,7.994,2.308,75.833,8.505,2.455,80.583,5.334,1.54,77.833,5.967,1.723,76.667,7.19,2.076,76.847
