method,round,n,n_tasks,layout_hierarchy_mean,layout_hierarchy_sd,layout_hierarchy_sem,spacing_alignment_balance_mean,spacing_alignment_balance_sd,spacing_alignment_balance_sem,color_typography_mean,color_typography_sd,color_typography_sem,style_originality_finish_mean,style_originality_finish_sd,style_originality_finish_sem,overall_mean,overall_sd,overall_sem,overall_gold_centered_mean
SELF,0,4,4,66.5,17.972,8.986,68.75,15.521,7.761,75.5,5.196,2.598,72,11.343,5.672,68.25,14.751,7.375,67.208
SELF,1,4,4,66.5,18.699,9.35,65,20.083,10.042,76.5,9.747,4.873,67.75,17.633,8.816,66.75,18.5,9.25,69.125
SELF,2,4,4,69,15.449,7.724,71,13.928,6.964,80,7.528,3.764,73.5,10.116,5.058,70.75,14.056,7.028,69.958
SELF,3,4,4,67.75,18.768,9.384,67.5,20.339,10.169,77.5,6.856,3.428,71,15.492,7.746,67.5,17.711,8.855,68.959
SELF,4,4,4,70.25,18.751,9.375,69.25,20.516,10.258,79,7.572,3.786,72.75,16.879,8.44,70.5,18.43,9.215,70.375
SELF,5,4,4,70.25,19.19,9.595,69.5,21.455,10.728,81,9.626,4.813,73.5,17.54,8.77,71.75,19.602,9.801,70.958
FUSED,0,4,4,66.75,17.115,8.557,66.25,20.565,10.282,78.75,10.5,5.25,69.75,17.231,8.616,68.75,19.207,9.604,67.958
FUSED,1,4,4,68.5,13.964,6.982,69,15.684,7.842,76.75,5.737,2.869,70.5,11.15,5.575,67.75,13.793,6.897,70.125
FUSED,2,4,4,73,10.893,5.447,74.25,10.21,5.105,79,4.546,2.273,76.75,4.992,2.496,73.5,9.678,4.839,74.959
FUSED,3,4,4,74.5,8.185,4.093,75.25,6.344,3.172,77.25,11.871,5.935,76.5,6.137,3.069,72.5,9.678,4.839,72.375
FUSED,4,4,4,73.75,12.312,6.156,75.5,10.755,5.377,79,16.852,8.426,77.25,13.745,6.872,75.5,12.923,6.461,75.625
FUSED,5,4,4,70.75,10.243,5.121,71.75,9.811,4.905,76.5,15.801,7.9,74.25,10.966,5.483,71.25,11.325,5.662,72.042
AXES,0,4,4,66.5,17.33,8.665,67,18.203,9.101,76.5,6.608,3.304,70,14.071,7.036,66.25,16.338,8.169,67.709
AXES,1,4,4,55.75,19.5,9.75,57.75,16.84,8.42,72,7.616,3.808,59,19.061,9.531,58,14.674,7.337,58.792
AXES,2,4,4,73,8.042,4.021,73.25,5.252,2.626,80.25,2.63,1.315,76.5,2.646,1.323,73.5,7.681,3.841,73.375
AXES,3,4,4,73.75,9.535,4.768,75,6.164,3.082,81.75,2.062,1.031,77.5,3.109,1.555,74.75,8.098,4.049,74.625
AXES,4,4,4,69,16.145,8.073,67.25,18.428,9.214,75.75,4.787,2.394,70.5,15.716,7.858,68.75,15.861,7.931,69.292
AXES,5,4,4,74,13.88,6.94,72.75,12.894,6.447,82.5,5.916,2.958,78.25,11.5,5.75,74,13.856,6.928,74.792
MAD,0,4,4,66,16.872,8.436,65,19.9,9.95,75.5,6.455,3.227,68.25,16.132,8.066,66.5,17.234,8.617,66.375
MAD,1,4,4,75,12.463,6.232,72.75,12.176,6.088,83.25,7.805,3.902,77,12.083,6.042,75.75,11.927,5.963,75.875
MAD,2,4,4,70.75,17.97,8.985,68.25,20.353,10.177,80.25,6.994,3.497,71.75,16.338,8.169,70.75,18.154,9.077,70.875
MAD,3,4,4,75.75,8.18,4.09,75.75,6.449,3.224,81,6.377,3.189,79.75,4.787,2.394,77.25,5.852,2.926,74.875
MAD,4,4,4,74.75,10.626,5.313,72.75,11.236,5.618,82,6.928,3.464,75.5,12.477,6.238,75.75,12.121,6.06,74.958
MAD,5,4,4,74.5,5.972,2.986,73.75,7.182,3.591,82.75,5.439,2.72,78.25,6.292,3.146,76,6.055,3.028,75.208
GOLD,0,4,4,67.25,18.998,9.499,67.75,20.549,10.274,79.75,8.655,4.328,69.5,16.703,8.352,68.5,18.52,9.26,68.625
GOLD,1,4,4,75.25,7.932,3.966,72.75,8.995,4.498,81.25,4.349,2.175,77,6.683,3.342,75.75,8.057,4.029,76.542
GOLD,2,4,4,79,8.832,4.416,77.5,9.713,4.856,81.75,5.795,2.898,78.75,9.912,4.956,79,9.487,4.743,79.792
GOLD,3,4,4,80.75,4.992,2.496,81.5,4.933,2.466,83.25,2.754,1.377,81.75,1.5,0.75,81.5,3.109,1.555,79.791
GOLD,4,4,4,83.75,2.63,1.315,81.5,3.512,1.756,85.75,2.217,1.109,84,1.826,0.913,83.75,2.217,1.109,85.459
GOLD,5,4,4,78.75,6.238,3.119,80,5.598,2.799,81.25,2.986,1.493,80,4.243,2.121,79.25,4.787,2.394,77.541
