method,task,from_round,to_round,overall_before,overall_after,delta,before_id,after_id
AXES,ab000012,1,2,38,77,39,K255,K289
MAD,ab000007,2,3,45,76,31,K164,K276
MAD,ab000007,0,1,44,73,29,K293,K024
AXES,ab000005,3,4,57,84,27,K286,K053
AXES,ab000002,0,1,46,72,26,K014,K287
FUSED,ab000004,4,5,51,75,24,K023,K214
FUSED,ab000004,2,3,49,70,21,K197,K213
FUSED,ab000001,3,4,42,62,20,K182,K133
AXES,ab000010,1,2,57,77,20,K200,K251
MAD,ab000001,4,5,39,59,20,K257,K049
SELF,ab000001,4,5,33,52,19,K146,K178
SELF,ab000007,1,2,40,59,19,K044,K187
AXES,ab000001,1,2,66,85,19,K142,K239
AXES,ab000007,4,5,45,62,17,K080,K202
FUSED,ab000001,1,2,32,48,16,K107,K188
FUSED,ab000002,1,2,53,69,16,K140,K268
FUSED,ab000011,3,4,56,72,16,K026,K045
MAD,ab000005,2,3,64,80,16,K015,K029
FUSED,ab000007,3,4,64,79,15,K226,K135
MAD,ab000005,0,1,65,80,15,K094,K311
MAD,ab000007,4,5,58,73,15,K275,K258
SELF,ab000002,0,1,56,70,14,K114,K175
SELF,ab000005,1,2,69,83,14,K157,K102
FUSED,ab000007,0,1,45,59,14,K218,K100
AXES,ab000006,3,4,67,81,14,K138,K283
SELF,ab000006,1,2,68,81,13,K212,K297
AXES,ab000009,4,5,72,85,13,K010,K203
MAD,ab000006,0,1,70,83,13,K064,K088
SELF,ab000011,4,5,66,77,11,K227,K264
MAD,ab000002,1,2,60,71,11,K170,K156
MAD,ab000008,0,1,77,88,11,K249,K152
MAD,ab000009,3,4,61,72,11,K007,K070
MAD,ab000009,4,5,72,83,11,K070,K191
SELF,ab000007,3,4,62,72,10,K238,K234
FUSED,ab000006,1,2,67,77,10,K240,K169
AXES,ab000008,0,1,79,89,10,K252,K077
AXES,ab000010,4,5,76,86,10,K154,K282
AXES,ab000011,2,3,66,76,10,K237,K172
AXES,ab000012,4,5,76,86,10,K040,K041
FUSED,ab000011,0,1,69,78,9,K201,K120
MAD,ab000011,4,5,65,74,9,K248,K206
SELF,ab000005,4,5,54,62,8,K223,K061
SELF,ab000008,2,3,81,89,8,K254,K002
SELF,ab000011,1,2,69,77,8,K018,K241
FUSED,ab000002,2,3,69,77,8,K268,K296
AXES,ab000003,2,3,74,82,8,K290,K095
MAD,ab000002,3,4,70,78,8,K300,K217
FUSED,ab000008,1,2,78,85,7,K083,K192
SELF,ab000004,1,2,80,86,6,K119,K036
FUSED,ab000006,0,1,61,67,6,K179,K240
