task,r0,SELF,FUSED,AXES,CEN_MAD,MAD,best_conditions
ab000001,50,46,46,46,46,46,r0
ab000002,61,55,55,55,55,55,r0
ab000003,59,57,57,57,57,57,r0
ab000004,40,40,40,40,40,40,r0|SELF|FUSED|AXES|CEN_MAD|MAD
ab000005,52,52,52,52,52,52,r0|SELF|FUSED|AXES|CEN_MAD|MAD
ab000006,75,75,75,75,75,75,r0|SELF|FUSED|AXES|CEN_MAD|MAD
ab000007,50,50,50,50,50,50,r0|SELF|FUSED|AXES|CEN_MAD|MAD
ab000008,64,64,64,64,64,64,r0|SELF|FUSED|AXES|CEN_MAD|MAD
ab000009,65,68,68,68,68,68,SELF|FUSED|AXES|CEN_MAD|MAD
ab000010,70,70,70,70,70,70,r0|SELF|FUSED|AXES|CEN_MAD|MAD
ab000011,60,60,60,60,60,60,r0|SELF|FUSED|AXES|CEN_MAD|MAD
ab000012,65,65,65,65,65,65,r0|SELF|FUSED|AXES|CEN_MAD|MAD
