blind_id,repeat,task,condition,round,brief_intent_alignment,clarity_information_hierarchy,visual_system_craft,expressiveness_distinctiveness,overall
Q0234,0,ab000001,AXES,1,80,73,75,71,71
Q0599,0,ab000001,AXES,2,77,76,80,79,72
Q0009,0,ab000001,AXES,3,83,73,75,71,71
Q0866,0,ab000001,AXES,4,81,83,84,80,82
Q0754,0,ab000001,AXES,5,80,82,83,79,81
Q0908,0,ab000001,CEN_MAD,1,78,80,81,77,79
Q0768,0,ab000001,CEN_MAD,2,79,81,82,78,80
Q0561,0,ab000001,CEN_MAD,3,77,78,79,75,74
Q0873,0,ab000001,CEN_MAD,4,76,78,79,75,77
Q0431,0,ab000001,CEN_MAD,5,77,79,78,79,77
Q0709,0,ab000001,FUSED,1,80,82,83,79,81
Q0441,0,ab000001,FUSED,2,72,79,77,74,78
Q0301,0,ab000001,FUSED,3,75,73,77,79,71
Q0509,0,ab000001,FUSED,4,75,78,74,79,79
Q0537,0,ab000001,FUSED,5,78,75,78,80,72
Q0384,0,ab000001,MAD,1,76,80,80,75,75
Q0840,0,ab000001,MAD,2,79,81,82,78,80
Q0874,0,ab000001,MAD,3,83,85,86,82,84
Q0735,0,ab000001,MAD,4,82,84,85,81,83
Q0854,0,ab000001,MAD,5,78,80,81,77,79
Q0655,0,ab000001,R0,0,80,82,83,79,81
Q0054,0,ab000001,SELF,1,78,73,75,71,71
Q0321,0,ab000001,SELF,2,72,80,74,82,75
Q0114,0,ab000001,SELF,3,75,73,78,74,71
Q0657,0,ab000001,SELF,4,76,78,79,75,77
Q0078,0,ab000001,SELF,5,79,73,78,74,71
Q0349,0,ab000002,AXES,1,75,74,68,69,66
Q0729,0,ab000002,AXES,2,74,74,77,73,72
Q0807,0,ab000002,AXES,3,80,80,83,79,81
Q0912,0,ab000002,AXES,4,77,77,80,76,78
Q0614,0,ab000002,AXES,5,72,72,76,72,71
Q0019,0,ab000002,CEN_MAD,1,75,71,78,71,69
Q0129,0,ab000002,CEN_MAD,2,75,71,79,75,69
Q0478,0,ab000002,CEN_MAD,3,75,74,75,71,66
Q0819,0,ab000002,CEN_MAD,4,58,58,57,57,56
Q0680,0,ab000002,CEN_MAD,5,82,82,85,81,83
Q0172,0,ab000002,FUSED,1,80,71,78,71,69
Q0541,0,ab000002,FUSED,2,67,72,76,72,72
Q0930,0,ab000002,FUSED,3,77,77,80,76,78
Q0082,0,ab000002,FUSED,4,79,71,78,71,69
Q0623,0,ab000002,FUSED,5,72,74,74,73,69
Q0880,0,ab000002,MAD,1,78,78,81,77,79
Q0782,0,ab000002,MAD,2,76,76,79,75,77
Q0044,0,ab000002,MAD,3,71,71,77,76,69
Q0186,0,ab000002,MAD,4,76,71,76,72,69
Q0895,0,ab000002,MAD,5,75,75,78,74,76
Q0515,0,ab000002,R0,0,69,75,71,69,74
Q0180,0,ab000002,SELF,1,73,71,73,69,69
Q0136,0,ab000002,SELF,2,73,71,78,71,69
Q0334,0,ab000002,SELF,3,67,75,75,74,67
Q0618,0,ab000002,SELF,4,75,70,73,74,67
Q0268,0,ab000002,SELF,5,73,71,81,74,69
Q0378,0,ab000003,AXES,1,69,70,73,70,63
Q0295,0,ab000003,AXES,2,79,69,79,72,67
Q0520,0,ab000003,AXES,3,66,68,68,70,68
Q0008,0,ab000003,AXES,4,73,69,75,74,67
Q0315,0,ab000003,AXES,5,68,67,73,73,68
Q0077,0,ab000003,CEN_MAD,1,69,69,78,68,67
Q0857,0,ab000003,CEN_MAD,2,76,76,79,75,77
Q0887,0,ab000003,CEN_MAD,3,61,61,60,60,59
Q0274,0,ab000003,CEN_MAD,4,74,69,73,75,67
Q0865,0,ab000003,CEN_MAD,5,78,78,81,77,79
Q0593,0,ab000003,FUSED,1,72,72,67,66,65
Q0155,0,ab000003,FUSED,2,75,69,72,71,67
Q0922,0,ab000003,FUSED,3,72,72,75,71,70
Q0484,0,ab000003,FUSED,4,71,71,68,68,70
Q0156,0,ab000003,FUSED,5,70,69,77,73,67
Q0490,0,ab000003,MAD,1,65,64,69,66,70
Q0673,0,ab000003,MAD,2,75,75,78,74,76
Q0365,0,ab000003,MAD,3,71,70,67,66,65
