condition,round,n,brief_intent_alignment,clarity_information_hierarchy,visual_system_craft,expressiveness_distinctiveness,overall
AXES,1,90,70.4,73.6778,75.3444,72.6222,71.7667
AXES,2,90,70.3444,72.7,74.8333,72.3667,71.5
AXES,3,90,69.9778,72.7444,74.7333,72.2,71.1
AXES,4,90,70.3,72.5889,74.7444,72.8222,71.3333
AXES,5,90,71.0889,73.8111,75.4889,72.9444,72.3333
CEN_MAD,1,90,74.4222,75.7,77.3889,75.6,75.0444
CEN_MAD,2,90,72.4444,75.1444,76.4556,73.5667,73.5889
CEN_MAD,3,90,72.0333,73.8778,75.2889,73.4333,72.8444
CEN_MAD,4,90,71.9778,74.5111,75.7778,73.4333,72.8333
CEN_MAD,5,90,73.1222,75.1444,76.1222,74.4556,73.8111
FUSED,1,90,67.6778,72.0,73.4556,70.6889,69.4444
FUSED,2,90,72.2778,75.2,76.9889,74.8111,73.6889
FUSED,3,90,71.1667,74.7778,75.8444,73.2222,72.5444
FUSED,4,90,73.7778,76.2333,77.2778,75.0444,74.6556
FUSED,5,90,73.9889,75.8111,77.3444,75.2444,74.6889
MAD,1,90,69.1333,72.5333,74.3,71.9222,70.6667
MAD,2,90,70.5889,73.9889,75.1,72.3444,71.8889
MAD,3,90,68.5889,72.3444,73.7,71.1222,70.1333
MAD,4,90,70.1556,73.6222,75.1111,72.3222,71.7667
MAD,5,90,70.0,73.3889,74.8889,72.4222,71.3556
R0,0,90,68.1778,72.4111,73.9778,71.0333,70.0
SELF,1,90,72.0,74.6889,76.4556,73.7222,73.2444
SELF,2,90,73.7333,76.1778,77.5778,75.1444,74.7333
SELF,3,90,73.5,75.3111,76.5667,74.6222,74.1111
SELF,4,90,72.0111,74.8778,75.9667,73.6111,73.3
SELF,5,90,72.3556,75.4556,76.7556,73.9222,73.7222
