condition,round,dimension,n_pairs,mean_delta,median_delta,improved,tied,declined,repeat_0_mean_delta,repeat_1_mean_delta,repeat_2_mean_delta
SELF,5,brief_intent_alignment,90,4.1778,0.0,44,21,25,5.0,5.2,2.3333
SELF,5,clarity_information_hierarchy,90,3.0444,0.0,41,18,31,5.0667,3.1667,0.9
SELF,5,visual_system_craft,90,2.7778,0.0,39,26,25,3.7667,3.4667,1.1
SELF,5,expressiveness_distinctiveness,90,2.8889,0.0,41,20,29,3.5333,3.5333,1.6
SELF,5,overall,90,3.7222,0.0,43,21,26,4.8667,4.6333,1.6667
FUSED,5,brief_intent_alignment,90,5.8111,0.0,39,19,32,7.3333,-1.5333,11.6333
FUSED,5,clarity_information_hierarchy,90,3.4,0.0,37,17,36,4.7667,-1.2667,6.7
FUSED,5,visual_system_craft,90,3.3667,0.0,36,21,33,4.9,-1.3667,6.5667
FUSED,5,expressiveness_distinctiveness,90,4.2111,0.0,42,20,28,5.8667,-1.7333,8.5
FUSED,5,overall,90,4.6889,0.0,39,16,35,6.0667,-1.4333,9.4333
AXES,5,brief_intent_alignment,90,2.9111,0.0,37,12,41,4.6667,-2.2333,6.3
AXES,5,clarity_information_hierarchy,90,1.4,0.0,34,13,43,2.8,-1.1333,2.5333
AXES,5,visual_system_craft,90,1.5111,0.0,38,14,38,2.3333,-0.7,2.9
AXES,5,expressiveness_distinctiveness,90,1.9111,0.0,36,16,38,2.8,-1.2667,4.2
AXES,5,overall,90,2.3333,0.0,38,12,40,3.7,-1.5,4.8
CEN_MAD,5,brief_intent_alignment,90,4.9444,1.0,47,12,31,4.2667,0.1,10.4667
CEN_MAD,5,clarity_information_hierarchy,90,2.7333,0.0,44,13,33,2.1,0.5667,5.5333
CEN_MAD,5,visual_system_craft,90,2.1444,0.0,42,16,32,0.7667,-0.3667,6.0333
CEN_MAD,5,expressiveness_distinctiveness,90,3.4222,1.0,50,14,26,1.9333,-0.4,8.7333
CEN_MAD,5,overall,90,3.8111,1.0,46,14,30,2.8667,-0.1,8.6667
MAD,5,brief_intent_alignment,90,1.8222,1.0,49,12,29,4.2333,0.0,1.2333
MAD,5,clarity_information_hierarchy,90,0.9778,0.5,45,11,34,3.7667,-1.6333,0.8
MAD,5,visual_system_craft,90,0.9111,0.0,43,15,32,3.8,-1.6,0.5333
MAD,5,expressiveness_distinctiveness,90,1.3889,1.0,46,14,30,3.7333,-1.1667,1.6
MAD,5,overall,90,1.3556,1.0,47,12,31,4.0,-1.0,1.0667
