condition,round,n,brief_intent_alignment,clarity_information_hierarchy,visual_system_craft,expressiveness_distinctiveness,overall
AXES,1,90,70.2889,70.9333,73.1333,71.7778,70.5889
AXES,2,90,70.2778,70.2778,72.7111,71.5778,70.5111
AXES,3,90,72.0667,71.6889,74.1889,72.7111,71.9444
AXES,4,90,71.1333,71.2333,74.0,72.6556,71.4222
AXES,5,90,70.5889,71.1889,73.4667,72.0222,71.0
CEN_MAD,1,90,73.3222,72.8111,75.1222,74.0333,73.2
CEN_MAD,2,90,72.9,72.9444,75.2111,73.7,72.8889
CEN_MAD,3,90,72.0111,72.5889,74.6778,73.4222,72.3111
CEN_MAD,4,90,71.7556,72.2,74.4556,73.1778,72.0556
CEN_MAD,5,90,73.5444,73.6333,75.6667,74.3222,73.6222
FUSED,1,90,71.4,71.7778,74.0556,72.2444,71.6444
FUSED,2,90,72.9333,73.3667,76.1,74.2222,73.2778
FUSED,3,90,74.8,75.0556,76.9444,75.4,74.8444
FUSED,4,90,73.3556,73.8111,75.6111,74.1222,73.6222
FUSED,5,90,73.9667,74.4444,76.3111,75.2333,74.2556
MAD,1,90,70.6667,71.6667,74.0,72.3111,71.2333
MAD,2,90,72.0889,72.3222,75.0333,73.1778,72.4556
MAD,3,90,71.3889,72.0444,74.7222,72.6778,71.9111
MAD,4,90,71.7444,72.5889,75.1333,72.9222,72.3333
MAD,5,90,71.3667,72.0889,74.5778,73.1222,71.8
R0,0,90,71.1556,71.7222,74.3556,72.7444,71.5333
SELF,1,90,73.8556,73.7556,76.1,74.3889,73.9333
SELF,2,90,74.3778,74.3111,76.4111,74.9333,74.4556
SELF,3,90,72.8667,73.1222,75.4556,73.8778,73.1333
SELF,4,90,73.7444,73.6111,75.5,74.4333,73.7222
SELF,5,90,74.4444,74.4556,76.1778,74.7778,74.4778
