condition,round,dimension,n_pairs,mean_delta,median_delta,improved,tied,declined,repeat_0_mean_delta,repeat_1_mean_delta,repeat_2_mean_delta
SELF,5,brief_intent_alignment,90,3.2889,0.0,40,23,27,2.9333,5.1,1.8333
SELF,5,clarity_information_hierarchy,90,2.7333,0.0,42,20,28,3.0,3.9,1.3
SELF,5,visual_system_craft,90,1.8222,0.0,38,27,25,1.7333,3.0667,0.6667
SELF,5,expressiveness_distinctiveness,90,2.0333,0.0,38,24,28,1.5333,3.4,1.1667
SELF,5,overall,90,2.9444,0.0,39,24,27,2.6333,4.9,1.3
FUSED,5,brief_intent_alignment,90,2.8111,0.0,37,24,29,4.9333,-1.9333,5.4333
FUSED,5,clarity_information_hierarchy,90,2.7222,0.0,41,20,29,4.8667,-0.8333,4.1333
FUSED,5,visual_system_craft,90,1.9556,0.0,34,23,33,4.0,-1.7,3.5667
FUSED,5,expressiveness_distinctiveness,90,2.4889,0.0,38,24,28,4.5667,-1.8667,4.7667
FUSED,5,overall,90,2.7222,0.0,39,21,30,4.7,-1.3333,4.8
AXES,5,brief_intent_alignment,90,-0.5667,0.0,38,14,38,-3.0,0.0667,1.2333
AXES,5,clarity_information_hierarchy,90,-0.5333,0.0,38,14,38,-1.2333,0.3,-0.6667
AXES,5,visual_system_craft,90,-0.8889,0.0,37,16,37,-1.5667,0.1,-1.2
AXES,5,expressiveness_distinctiveness,90,-0.7222,0.0,37,16,37,-2.3333,-0.2,0.3667
AXES,5,overall,90,-0.5333,0.0,38,16,36,-2.5,0.4667,0.4333
CEN_MAD,5,brief_intent_alignment,90,2.3889,0.0,41,19,30,-0.9,5.0,3.0667
CEN_MAD,5,clarity_information_hierarchy,90,1.9111,0.5,45,19,26,-0.2,3.4667,2.4667
CEN_MAD,5,visual_system_craft,90,1.3111,0.5,45,19,26,-1.5333,2.4667,3.0
CEN_MAD,5,expressiveness_distinctiveness,90,1.5778,0.0,42,18,30,-1.7667,2.9667,3.5333
CEN_MAD,5,overall,90,2.0889,0.0,42,21,27,-1.0,4.1667,3.1
MAD,5,brief_intent_alignment,90,0.2111,0.0,43,13,34,1.2,-0.8667,0.3
MAD,5,clarity_information_hierarchy,90,0.3667,0.0,43,10,37,1.8333,-1.1667,0.4333
MAD,5,visual_system_craft,90,0.2222,0.0,38,16,36,1.7,-1.5,0.4667
MAD,5,expressiveness_distinctiveness,90,0.3778,0.0,40,14,36,1.4,-1.1667,0.9
MAD,5,overall,90,0.2667,0.0,42,13,35,1.5667,-1.0667,0.3
